Timestep,MeanReward,RewardType,Algorithm,Environment,Seed,RunName,DemoName,NumDemos
80,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
81,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
82,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
83,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
84,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
85,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
86,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
87,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
88,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
89,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
90,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
91,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
92,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
93,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
94,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
95,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
96,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
